"nombreVacante","empresa","ubicacion","sueldo","verificada","categoria","subcategoria","educacionMinima","contratacion","horario","espacioDeTrabajo","descripcion"
"Estilista canino","D'Perros","Jiutepec,, Mor.","$10,000 - $12,000 Mensual",false,"Veterinaria - Agricultura","Estética canina","Secundaria","Permanente","Tiempo completo","Híbrido","Acerca de la empresa




Acerca de la empresa: D'Perros es una estética veterinaria especializada en el cuidado y bienestar de las mascotas. Buscamos brindar un servicio integral y de calidad a todos nuestros clientes. Valoramos el trabajo en equipo, la pasión por los animales y el compromiso con la excelencia en cada tarea realizada.




Ubicación:

Jiutepec, Morelos.




Requisitos del puesto




Experiencia previa en Estética canina.
Estudios mínimos de Secundaria.
Conocimientos en corte de raza y baños avanzados.
Habilidad en el manejo de mascotas.







Responsabilidades del puesto




Realizar cortes de raza y baños avanzados de acuerdo a las especificaciones de los clientes.
Brindar un trato amable y profesional a las mascotas durante el proceso de estilismo.
Mantener la limpieza y orden en el área de trabajo.
Seguir las normas de higiene y seguridad establecidas por la empresa.







Prestaciones y beneficios adicionales:

- Sueldo competitivo basado en tus habilidades.

- Oportunidades de crecimiento y desarrollo profesional.

- Ambiente de trabajo agradable y dinámico."
"MEDICO VETERINARIO ZOOTECNISTA","La empresa es confidencial o no se encuentra disponible","CDMX","Sueldo no mostrado por la empresa",false,"Veterinaria - Agricultura","Médico veterinario","Universitario titulado","Permanente","Tiempo completo","Presencial","Médico Veterinario Titulado

Enfocado a pequeñas especies ( perros y gatos ).

Hombre o Mujer (25 a 45 años)

Con cedula profesional de MVZ.

Buena presentación.

Excelente atención y trato al cliente.

Indispensable sentido de la responsabilidad.

Capacidad de trabajo en equipo.

Disponibilidad para realizar turnos mixtos (diurnos/nocturnos).




Capacidades y funciones:

Consulta médica y preventiva a perros y gatos.

Redacción de receta médica y calculo adecuado de dosis.

Manejo de equipo e interpretación radiológica / ultrasonido.

Manejo de equipo de laboratorio y entendimiento de resultados.

Manejo y capacidad resolutiva de casos clínicos en perros y gatos.

Capacidad de procedimientos quirúrgicos básicos de tejidos blandos.

Manejo de pacientes en hospitalización, capacidad de canalizar, medicar, tomar muestras de sangre y de orina."
"350 - Especialista en Medicina y Cirugía de Perros y Gatos","Universidad Autónoma d...","Cancún Centro,, Benito Juárez,, Q. Roo","Sueldo no mostrado por la empresa",false,"Veterinaria - Agricultura","Médico veterinario","Universitario titulado","Permanente","Tiempo completo","Presencial","Te invitamos a participar en la vacante de Empleo como Especialista en Medicina y Cirugía de Perros y Gatos en la empresa DogTor Cancun.




Licenciaturas:

Medicina Veterinaria y Zootecnia




Horario:

Lunes a viernes de 11:00 am a 19:00 pm y sábados de 09:00 am a 17:00 pm?




Requisitos:

• Consulta de medicina interna.

• Interpretación de imagenología.

• Manejo médico hospitalario.

• Manejo intermedio de enfermedades: cardiología, oftalmología, endocrinología, ortopédicas, infecciosas.

• Manejo intermedio de terapia intensiva y manejo de urgencias.

• Ejecución de procedimientos quirúrgicos especializados en pequeñas especies.

• Evaluación preoperatoria, desde revisión clínica, historial médico, examen físico y estudios complementarios.

• Planificación quirúrgica: elección de anestesia, protocolos anestésicos y quirúrgicos, y definición de materiales y equipos necesarios.

• Manejo del dolor: protocolos de analgesia y control del dolor durante y después de la cirugía.

• Monitoreo intraoperatorio: vigilar signos vitales y estado anestésico, ajustando según sea necesario.

• Cuidados postoperatorios: supervisión de heridas, administración de medicamentos, control de infecciones y recomendaciones para recuperación.

• Comunicación con propietarios, explicación de procedimientos, riesgos, cuidados y pronóstico."
"Bañador de perritos","UNIDAD DE SERVICIOS CO...","Querétaro,, Qro.","$9,000 - $10,000 Mensual",true,"Veterinaria - Agricultura","Estética canina","Bachillerato","Permanente","Tiempo completo","Presencial","¡¡SÉ PARTE DE NUESTRA COMUNIDAD DE PET PARTNERS COMO BAÑADOR DE PERRITOS EN PETCO JURIQUILLA QUERETARO.




ESTAMOS CONTRATANDO BAÑADOR CANINO - NO NECESITAS EXPERIENCIA

Ofrecemos:

Sueldo base mensual de $8,875.00 + Bono $1,183
Aumentos Salariales conforme subas de Categoría
Prestaciones de Ley y Superiores
Descuentos en PETCO del 20 al 40%
Capacitación continua / Curso de estética canina ¡GRATUITO!
Plan de crecimiento, te capacitamos para ser ESTILISTA CANINO PROFESONAL




Requisitos:

Amor y trato directo con mascotas
Experiencia en el baño de mascotas (puedes ser con tus propios perritos)
Disponibilidad de horario (NO ESTUDIANTES, SE ROLAN TURNOS DE 8 HORAS).
Gran actitud de servicio, organizado, trabajo en equipo.
Constancia de Situación Fiscal Actualizada




Funciones:

Bañado de perros y gatos.
Apoyo con recepción de mascotas
Asesoría al cliente en cuanto al mejor corte para su mascota.
Apoyo de limpieza en el área
Turnos rolados lunes a domingo, un descanso entre semana
Horarios: 8am a 5pm, 10am a 7pm, 12:00 a 9pm"
"Cuidador canino","INTELIGENCIA CANINA","Miguel Hidalgo,, CDMX","$8,400 Mensual",true,"Veterinaria - Agricultura","Estética canina","Bachillerato","Permanente","Tiempo completo","Presencial","Buscamos un apasionado o apasionada del cuidado canino que se una a nuestro equipo en nuestras sucursales en la CDMX (Anzures, Narvarte, Nápoles, Colonia del Valle, Insurgentes, ). Somos una empresa líder en el cuidador y bienestar de los perritos. Nos destacamos por ofrecer servicios de alta calidad y contar con equipo altamente capacitado que busca promover el amor y respeto hacia los animales.




Responsabilidades:




Mantenimiento de la higiene y salud de las mascotas.


Limpieza de las instalaciones


Administración de medicamentos y seguimiento de tratamientos.


Inspecciones físicas diarias para garantizar el bienestar animal.


Supervisión de la interacción segura entre los perros.


Atención ocasional a clientes, ofreciendo un servicio excepcional






Requisitos del puesto




Experiencia previa en cuidado animal o puestos similares.


Habilidades de comunicación efectiva y servicio al cliente.


Capacidad para trabajar en equipo y bajo presión.


Disponibilidad para trabajar en horarios flexibles




Ofrecemos:




Ambiente laboral positivo y orientado al crecimiento profesional.




Oportunidades de formación y desarrollo continuo.




Reconocimiento y recompensas por desempeño sobresaliente.




Beneficios por ser parte de nuestro equipo en nuestros diferentes servicios y productos.




Estabilidad laboral.




Cómo Postularse:




SI ESTAS INTERESADO O INTERESADA EN EL EMPLEO, MANDA UN MENSAJE AL CORREO ELECTRONICO O NÚMERO DE WHATSSAP QUE SE OBSERVA EN LA VACANTE, CON EL SIGUIENTE ASUNTO: ""ESTOY INTERESADO/DA EN SER CUIDADOR/A CANINA"""
"Médico veterinario zootecnista","DogTor Cancún","Cancún Centro,, Benito Juárez,, Q. Roo","$25,000 - $35,000 Mensual",false,"Veterinaria - Agricultura","Médico veterinario","Universitario titulado","Permanente","Tiempo completo","Híbrido","REQUISITOS:

Especialista en medicina interna y cirugía de perros y gatos
3 años de experiencia como cirujano
Deseable Inglés intermedio
Experiencia sólida en realización de cirugías




RESPONSABILIDADES:

Consulta de medicina interna
Interpretación de imagenología
Manejo médico hospitalario.
Manejo intermedio de enfermedades: Cardiología, oftalmología, endocrinología, ortopédicas, infecciosas.
Manejo intermedio de terapia intensiva y manejo de urgencias
Ejecución de procedimientos quirúrgicos especializados en pequeñas especies
Evaluación preoperatoria, desde revisión clínica, historial médico, examen físico y estudios complementarios
Planificación quirúrgica. Elección de anestesia, protocolos anestésicos y quirúrgicos, y definición de materiales y equipos necesarios.
Manejo del dolor. Protocolos de analgesia y control del dolor durante y después de la cirugía
Monitoreo intraoperatorio. Vigilar signos vitales y estado anestésico, ajustando según sea necesario.
Cuidados postoperatorios. Supervisión de heridas, administración de medicamentos, control de infecciones y recomendaciones para recuperación.
Comunicación con propietarios, explicación de procedimientos, riesgos, cuidados y pronóstico"
"Medico Especialista en medicina interna y cirugia","Corporativo Laboral y ...","Residencial Fluvial Vallarta,, Puerto Vallarta,, Jal.","$35,000 - $42,000 Mensual",true,"Sector salud","Especialidades médicas","Universitario titulado","Permanente","Tiempo completo","Presencial","Acerca de la empresa

Hospital Veterinario de alta especialidad, enfocada en atención avanzada y especializada en diversas áreas de la medicina veterinaria. Por expansión esta en busqueda de un; Medico Especialista en medicina interna y cirugia




Requisitos del puesto:

Especialista en medicina interna y cirugia de perros y gatos
Experiencia de dos años como medico veterinario
Experiencia en realización de cirugías




Responsabilidades del puesto:

Realizar de cirugías; ejecutar procedimientos quirúrgicos especializados en pequeñas especies (perros, gatos, otras mascotas), desde tejidos blandos hasta ortopédicas con técnicas e instrumental adecuado.
Evaluación preoperatoria; revisión clínica completa, historial médico, examen físico y estudios complementarios (laboratorio, radiografías, ecografías) para detectar factores de riesgo. -
Planificación quirúrgica; elegir tipo de anestesia, preparar protocolos anestésicos y quirúrgicos, y definir materiales y equipos necesarios.
Manejo del dolor; Aplicar protocolos de anestesia, analgesia y control del dolor durante y después de la cirugía para el bienestar del paciente
Monitoreo intraoperatorio; vigilar signos vitales y estado anestésico, ajustando según sea necesario.
Cuidados postoperatorios; Supervisar heridas, administrar medicamentos, controlar infecciones y dar recomendaciones para recuperación.
Comunicación con propietarios; Explicar procedimiento, riesgos, cuidados y pronóstico para asegurar confianza y cumplimiento.
Documentación; Registrar detalladamente indicación quirúrgica, procedimientos, evolución y alta médica.
Gestión del quirófano:; Mantener esterilidad, controlar inventarios de instrumental y materiales, y asegurar calidad y bioseguridad.




Ofrecemos:

Sueldo mensual: nominal: $42,000
Lunes a sabado: 10:00am a 6:00pm (Disponibilidad de guardias nocturnas)
Prestaciones de ley
Se brindan cursos especializados para mantenerse al día con técnicas y avances
Desarrollo y crecimiento profesional
Ubicación: Av de los grandes Lagos 192-4 fluvial Vallarta, CP 48313, Puerto Vallarta




Si cuentas con el perfil postulate por este medio"
"Medico veterinario cirujano","Corporativo Laboral y ...","Puerto Vallarta,, Jal.","$35,000 - $42,000 Mensual",true,"Veterinaria - Agricultura","Médico veterinario","Universitario titulado","Permanente","Tiempo completo","Presencial","Importante hospital veterinario de alta especialidad, por expansión se encuentra en busca de “Médico Veterinario Especialista en cirujias”




REQUISITOS:

· Lic. En medicina interna con especialidad como cirujano veterinario
· 3 años de experiencia como cirujano
· Deseable Inglés básico intermedio




RESPONSABILIDADES:

· Consulta de medicina interna
· Interpretación de rayos x.
· Interpretación de pruebas de laboratorio.
· Manejo médico hospitalario. Manejo básico de ultrasonido ( a fast - t fast).
· Manejo básico de enfermedades: Cardiología, oftalmología, endocrinas, ortopédicas, infecciosas.
· Manejo básico de terapia intensiva, anestesia y manejo de urgencias
· Cirugías para perros y gatos
· Evaluación preoperatoria y cuidados post operatorios







OFRECEMOS:

· Sueldo mensual 42,000 nominales
· Pago quincenal
· Prestaciones de ley
· Horario de lunes a sábado 10 am a 6 pm
· Disponibilidad para realizar guardias nocturnas
· Desarrollo profesional
· Ubicados en Fluvial Vallarta




Si cumples con estos requisitos, por favor postúlate por este medio y ven a formar parte de este gran equipo de trabajo."
"Bañador de Perritos - Fortuna Linda Vista","UNIDAD DE SERVICIOS CO...","Gustavo A. Madero,, CDMX","$8,500 - $9,000 Mensual",true,"Veterinaria - Agricultura","Estética canina","Secundaria","Permanente","Tiempo completo","Presencial","¿Quieres aprender de estilismo canino? ¡Nosotros te enseñamos!

SÉ PARTE DE NUESTRA COMUNIDAD DE PET PARTNERS COMO BAÑADOR DE PERRITOS EN PETCO FORTUNA/ ATANA LINDA VISTA (Zona norte)




Ofrecemos:

Sueldo base mensual de $8,800 + Bono $1,100
Aumentos Salariales conforme subas de Categoría
Prestaciones de Ley y Superiores
Descuentos en PETCO del 20 al 40%
Capacitación continua / Curso de estética canina ¡GRATUITO!
Plan de crecimiento, te capacitamos para ser ESTILISTA CANINO PROFESONAL




Requisitos:

Amor y trato directo con mascotas
Experiencia en el baño de mascotas (puedes ser con tus propios perritos)
Disponibilidad de horario (NO ESTUDIANTES, SE ROLAN TURNOS).
Gran actitud de servicio, organizado, trabajo en equipo.
Constancia de Situación Fiscal Actualizada




Funciones:

Bañado de perros y gatos.
Apoyo con recepción de mascotas
Asesoría al cliente en cuanto al mejor corte para su mascota.
Apoyo de limpieza en el área




Adjunta tu CV / Solicitud, ¡En breve te contactaremos!"
"Dos señoras para limpieza de quedada para zona valle Monterr","CADENA TEAM COACH","Monterrey,, N.L.","$14,000 - $16,000 Mensual",true,"Servicios generales - Oficios - Seguridad","Limpieza","Secundaria","Permanente","Tiempo completo","Presencial","?Dos señoras para limpieza de quedada para zona Valle Monterrey




? Familia en zona valle solicita.

?una señora que trabaja, de lunes a viernes.

?otra señora trabaja, fin de semana entra viernes al medio día, y sale lunes al medio día.

? requiere hacer limpieza y algo de cocina básica.

? requiere haber trabajado mínimo con familias durante 3 años, y tener referencias.

? gusto por atender perros mansitos.

? ofrecemos de $3,500 a $4,000. libres semanales.

? Prestaciones de ley.

? trabajo de Planta."
